season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,viewers,viewers_actual,votes_actual_mean,votes_actual_std,votes_actual_CI_lower,votes_actual_CI_upper,consistency_acceptance,consistency_mse,consistency_kl,certainty_score,confidence_interval_width,relative_uncertainty,is_eliminated
30,5,Amanda Kloots,0.0637360580474562,0.0636298865209626,0.0034320747065536,0.2383259068057384,6.36,6360000.0,405361.32918182143,404686.07827332214,21827.995133680895,1515752.7672844962,0.0105260387884529,0.0019881169403007,0.1374288952213765,2.471045046129713e-06,1493924.7721508152,0.9983341999843394,False
30,6,Melora Hardin,0.1040293405203261,0.0946698714556527,0.0014791971072148,0.3410607852277477,6.36,6360000.0,661626.605709274,602100.3824579512,9407.693601886129,2169146.5940484754,0.2,0.0002782815884569,0.0186328200387357,1.6608498653793354e-06,2159738.900446589,0.9100304873811571,False
30,6,"Mike ""The Miz"" Mizanin",0.0992522421788642,0.0903414928188089,0.0020163280608514,0.3429929559994029,6.36,6360000.0,631244.2602575764,574571.8943276246,12823.846467014902,2181435.2001562025,0.2,0.0002782815884569,0.0186328200387357,1.7404232080425892e-06,2168611.3536891877,0.910221178237998,False
30,6,Suni Lee,0.0956458326330567,0.08947023125735,0.0027123165773701,0.3344574726036838,6.36,6360000.0,608307.4955462406,569030.670796746,17250.333432073836,2127149.525759429,0.2,0.0002782815884569,0.0186328200387357,1.7573714282015644e-06,2109899.1923273555,0.9354326142007748,False
30,6,Iman Shumpert,0.0954196002843422,0.089907517189642,0.0013496372118447,0.3280156642626126,6.36,6360000.0,606868.6578084164,571811.8093261231,8583.692667332292,2086179.624710216,0.2,0.0002782815884569,0.0186328200387357,1.7488240621585448e-06,2077595.9320428837,0.9422332196081866,False
30,6,Cody Rigsby,0.0983336676633534,0.0930486899321529,0.0021453818021375,0.340439571968572,6.36,6360000.0,625402.1263389277,591789.6679684925,13644.6282615945,2165195.677720118,0.2,0.0002782815884569,0.0186328200387357,1.6897867001397883e-06,2151551.0494585233,0.9462546464828945,False
30,6,Jimmie Allen,0.0967760906078123,0.0894797015934325,0.0017823758490298,0.3138912913761584,6.36,6360000.0,615495.9362656862,569090.9021342307,11335.910399829527,1996348.6131523675,0.2,0.0002782815884569,0.0186328200387357,1.7571854321767027e-06,1985012.702752538,0.92460545813998,False
30,6,Olivia Jade,0.0987964631965656,0.090776055771313,0.002537978953674,0.339739935782967,6.36,6360000.0,628345.5059301573,577335.7147055507,16141.546145366641,2160745.9915796705,0.2,0.0002782815884569,0.0186328200387357,1.732091471975783e-06,2144604.445434304,0.9188188811041222,False
30,6,JoJo Siwa,0.1771134493537722,0.1160934758445123,0.0167112137180021,0.449086954445466,6.36,6360000.0,1126441.5378899912,738354.5063710982,106283.31924649337,2856193.0302731637,0.2,0.0002782815884569,0.0186328200387357,1.3543611327757864e-06,2749909.7110266704,0.6554752124590121,False
30,6,Kenya Moore,0.041161129686235,0.034368098074574,0.0010225700126189,0.1242999646059472,6.36,6360000.0,261784.78480445457,218581.10375429064,6503.545280256204,790547.7748938241,0.2,0.0002782815884569,0.0186328200387357,4.574939955395916e-06,784044.2296135679,0.8349648888783365,True
30,6,Amanda Kloots,0.0934721838756719,0.0908281541888688,0.0020142389437052,0.3336174616951466,6.36,6360000.0,594483.0894492733,577667.0606412056,12810.559681965073,2121807.0563811325,0.2,0.0002782815884569,0.0186328200387357,1.7310979576921912e-06,2108996.4966991674,0.9717131923405156,False
30,7,Melora Hardin,0.1052879268809605,0.1008449810749281,0.0019669880461326,0.3727714467935399,6.36,6360000.0,669631.2149629088,641374.0796365427,12510.043973403337,2370826.4016069137,0.2,0.0002312676580751,0.0119548994321097,1.5591500695142139e-06,2358316.35763351,0.9578019442717717,False
30,7,"Mike ""The Miz"" Mizanin",0.0570579752017289,0.0469006737082961,0.0013288790218931,0.1665824170418065,6.36,6360000.0,362888.7222829958,298288.2847847632,8451.670579240115,1059464.1723858893,0.2,0.0002312676580751,0.0119548994321097,3.352450292411847e-06,1051012.5018066491,0.8219827910555608,True
30,7,Suni Lee,0.1083824398519147,0.1013509412490578,0.0025526855311286,0.3592107414784113,6.36,6360000.0,689312.3174581775,644591.9863440077,16235.079977977897,2284580.315802696,0.2,0.0002312676580751,0.0119548994321097,1.5513665540665968e-06,2268345.235824718,0.9351232670858474,False
30,7,Iman Shumpert,0.1046563907405492,0.0930846218280071,0.0028824317501845,0.3331561480101805,6.36,6360000.0,665614.6451098928,592018.1948261252,18332.26593117342,2118873.101344748,0.2,0.0002312676580751,0.0119548994321097,1.6891344212136533e-06,2100540.8354135747,0.8894308428691245,False
30,7,Cody Rigsby,0.1098338023589673,0.0992899030199862,0.0025891280777387,0.3753645102458138,6.36,6360000.0,698542.983003032,631483.7832071122,16466.854574418132,2387318.2851633755,0.2,0.0002312676580751,0.0119548994321097,1.5835694328552386e-06,2370851.4305889574,0.9040013264357295,False
30,7,Jimmie Allen,0.1032266948940397,0.0974418720405704,0.002294529319302,0.364385587834663,6.36,6360000.0,656521.7795260925,619730.3061780276,14593.206470760719,2317492.338628457,0.2,0.0002312676580751,0.0119548994321097,1.6136025242409395e-06,2302899.1321576964,0.94396001093121,False
30,7,Olivia Jade,0.104577495282382,0.0973003790730846,0.0022929248494846,0.3460968101788579,6.36,6360000.0,665112.8699959496,618830.4109048181,14583.002042722055,2201175.712737536,0.2,0.0002312676580751,0.0119548994321097,1.615949000613689e-06,2186592.710694814,0.9304141279187497,False
30,7,JoJo Siwa,0.1919726481008511,0.1250667569154085,0.0200820992574491,0.4757020039135849,6.36,6360000.0,1220946.041921413,795424.573981998,127722.15127737627,3025464.7448904,0.2,0.0002312676580751,0.0119548994321097,1.2571886455622457e-06,2897742.593613024,0.6514821676560184,False
30,7,Amanda Kloots,0.1150046266886071,0.1010753793046711,0.0022467575807911,0.3709423616630022,6.36,6360000.0,731429.4257395412,642839.4123777082,14289.378213831396,2359193.420176694,0.2,0.0002312676580751,0.0119548994321097,1.5555960402384262e-06,2344904.041962863,0.8788809825742785,False
30,8,Melora Hardin,0.1175767589137338,0.1062760053162902,0.0030497940599783,0.3873697508820373,6.36,6360000.0,747788.1866913469,675915.3938116056,19396.690221461988,2463671.615609757,0.2,0.0004232208787521,0.0176618230838739,1.479472918774514e-06,2444274.925388295,0.9038861616713302,False
30,8,Suni Lee,0.1158959838054273,0.1046920911380873,0.0033153924474597,0.3914106669683708,6.36,6360000.0,737098.4570025177,665841.6996382353,21085.89596584369,2489371.841918838,0.2,0.0004232208787521,0.0176618230838739,1.5018562200100994e-06,2468285.9459529947,0.903328033470515,False
30,8,Iman Shumpert,0.1266067673882504,0.112133030987615,0.0024513174048439,0.3975684614462269,6.36,6360000.0,805219.0405892726,713166.0770812314,15590.378694807203,2528535.4147980027,0.2,0.0004232208787521,0.0176618230838739,1.4021959680089069e-06,2512945.0361031955,0.8856795991303492,False
30,8,Cody Rigsby,0.1213319026693794,0.1039361900831968,0.002811989051566,0.3832985843866912,6.36,6360000.0,771670.900977253,661034.1689291316,17884.25036795976,2437778.996699356,0.2,0.0004232208787521,0.0176618230838739,1.5127788157171532e-06,2419894.746331396,0.8566270518844111,False
30,8,Jimmie Allen,0.0580822002208468,0.0495450073776114,0.0015110806710951,0.1766236962026725,6.36,6360000.0,369402.7934045856,315106.2469216085,9610.473068164836,1123326.707848997,0.2,0.0004232208787521,0.0176618230838739,3.173522696698807e-06,1113716.2347808322,0.8530153332557254,True
30,8,Olivia Jade,0.1298796006790727,0.1100921280002794,0.0031528652329545,0.4115836661323505,6.36,6360000.0,826034.2603189023,700185.934081777,20052.22288159062,2617672.116601749,0.2,0.0004232208787521,0.0176618230838739,1.428190032296728e-06,2597619.8937201584,0.847647570709065,False
30,8,JoJo Siwa,0.2134719968255825,0.1376339312362038,0.0264551551163385,0.5270370375152356,6.36,6360000.0,1357681.8998107046,875351.8026622562,168254.78653991286,3351955.5585968983,0.2,0.0004232208787521,0.0176618230838739,1.1423965251023905e-06,3183700.7720569856,0.64473998127566,False
