season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,True,0.9366587489476266,3.3551533510569116
30,5,Melanie C,Iman Shumpert,Melanie C,False,True,0.9016393441809997,6.014662192874314
30,6,Kenya Moore,Kenya Moore,Kenya Moore,True,True,0.9951749094095086,6.164148453945864
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True,1.194690265272633,4.347137417963848
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,True,0.7384615383576669,3.062347517807223
30,9,Melora Hardin,Melora Hardin,Melora Hardin,True,True,1.0096153842659021,16.753035034727596
30,10,,Cody Rigsby,Cody Rigsby,False,False,0.7407407403017833,51.56374893591799
31,1,Jason Lewis,Jason Lewis,Jason Lewis,True,True,1.0151147601679662,0.7757063713769705
31,2,Teresa Giudice,Teresa Giudice,Teresa Giudice,True,True,0.8812421317250778,1.3439481194927008
31,3,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,True,True,0.8737997256045912,1.2690447539438514
31,4,Sam Champion,Sam Champion,Sam Champion,True,True,0.9044342507060972,1.4282201670371724
31,5,Joseph Baena,Vinny Guadagnino,Joseph Baena,False,True,0.9618834079941081,2.186065780241548
31,6,Jessie James Decker,Jessie James Decker,Jessie James Decker,True,True,1.1209239128911785,1.5742049393383946
31,7,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,True,0.8881578946185186,3.185898478385645
31,8,Heidi D'Amelio,Heidi D'Amelio,Heidi D'Amelio,True,True,0.9230769229146238,1.3661110929280247
31,9,Trevor Donovan,Trevor Donovan,Trevor Donovan,True,True,0.83999999975808,0.8495704864456196
31,10,,Shangela,Shangela,False,False,1.24999999875,1.2139012335224149
32,1,Matt Walsh,Matt Walsh,Matt Walsh,True,True,1.1210841252306467,0.5504701665743598
32,2,Jamie Lynn Spears,Mauricio Umansky,Jamie Lynn Spears,False,True,1.0506216695481552,0.6779298850723479
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,True,0.927066450495139,0.6965757612957832
32,4,Adrian Peterson,Adrian Peterson,Adrian Peterson,True,True,1.114180478697223,1.798852024505482
32,5,Mira Sorvino,Mira Sorvino,Mira Sorvino,True,True,0.9207589284686652,0.8581530351002621
32,6,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,True,True,0.99999999985,1.6045477760876088
32,7,Lele Pons,Lele Pons,Lele Pons,True,True,0.8842105261668698,15.19655012452618
32,8,Barry Williams,Harry Jowsey,Barry Williams,False,True,0.99999999975,0.9891420066712431
